1,244039,33/11 KV SANGLI CITY,201,11KV RAMMANDIR,Urban/Sheddable Urban Feeder,735040,January,1
2,244039,33/11 KV SANGLI CITY,202,11KV SHAMRAO NAGAR,Urban/Sheddable Urban Feeder,474000,January,1
3,244039,33/11 KV SANGLI CITY,204,11KV CIVIL HOSPITAL,HV Non-Express Feeder,198020,January,1
4,244039,33/11 KV SANGLI CITY,205,Hanuman Nagar,Urban/Sheddable Urban Feeder,474400,January,1
5,244039,33/11 KV SANGLI CITY,206,11KV TRIMURTI,Urban/Sheddable Urban Feeder,330120,January,1
8,244092,33 / 11 KV KOLHAPUR ROAD,201,11 KV SHASTRI CHOWK,Urban/Sheddable Urban Feeder,520520,January,1
9,244092,33 / 11 KV KOLHAPUR ROAD,202,11 KV FRUIT MARKET,Urban/Sheddable Urban Feeder,62800,January,1
1,244039,33/11 KV SANGLI CITY,201,11KV RAMMANDIR,Urban/Sheddable Urban Feeder,742120,February,1
2,244039,33/11 KV SANGLI CITY,202,11KV SHAMRAO NAGAR,Urban/Sheddable Urban Feeder,482760,February,1
3,244039,33/11 KV SANGLI CITY,204,11KV CIVIL HOSPITAL,HV Non-Express Feeder,176780,February,1
4,244039,33/11 KV SANGLI CITY,205,Hanuman Nagar,Urban/Sheddable Urban Feeder,306680,February,1
5,244039,33/11 KV SANGLI CITY,206,11KV TRIMURTI,Urban/Sheddable Urban Feeder,521200,February,1
8,244092,33 / 11 KV KOLHAPUR ROAD,201,11 KV SHASTRI CHOWK,Urban/Sheddable Urban Feeder,518360,February,1
9,244092,33 / 11 KV KOLHAPUR ROAD,202,11 KV FRUIT MARKET,Urban/Sheddable Urban Feeder,63320,February,1
1,244039,33/11 KV SANGLI CITY,201,11KV RAMMANDIR,Urban/Sheddable Urban Feeder,930160,March,1
2,244039,33/11 KV SANGLI CITY,202,11KV SHAMRAO NAGAR,Urban/Sheddable Urban Feeder,598600,March,1
3,244039,33/11 KV SANGLI CITY,204,11KV CIVIL HOSPITAL,HV Non-Express Feeder,206460,March,1
